EnsemblProteinFamilyID(s)	HGNCsymbol
ENSFM00250000004615	WDR12
ENSFM00790001962984	SMC1B
ENSFM00800002003446	GADL1
ENSFM00730001522182	B4GALT5
ENSFM00250000009069	MFSD3
ENSFM00500000275131	TSSC4
ENSFM00750001632346	PAPOLB
ENSFM00250000008067	FAM71F1
ENSFM00730001521277	KLK14
ENSFM00500000270147	FLVCR2
ENSFM00640001116365	FLVCR2
ENSFM00730001521931	DSC1
ENSFM00250000000929	TCEA3
ENSFM00720001499223	TCEA3
ENSFM00600000921183	HTR3D
ENSFM00740001613559	GNPDA2
ENSFM00250000003409	GNPDA2
ENSFM00250000000093	FGFR2
ENSFM00760001760675	FGFR2
ENSFM00260000050342	SLC12A1
ENSFM00650001149013	SLC12A1
ENSFM00250000004745	LYAR
ENSFM00250000001101	STXBP3
ENSFM00250000001764	FNDC1
ENSFM00250000000377	MASP2
ENSFM00500000298192	C12orf73
ENSFM00630001064055	C12orf73
ENSFM00630001064056	C12orf73
ENSFM00630001064057	C12orf73
ENSFM00630001064058	C12orf73
ENSFM00500000269831	FGD3
ENSFM00260000051064	RUSC2
ENSFM00750001632350	ALAS2
ENSFM00250000007940	TIFA
ENSFM00610000966016	C11orf52
ENSFM00670001238010	C11orf52
ENSFM00250000005904	CEP70
ENSFM00560000808678	CEP70
ENSFM00560000830841	CEP70
ENSFM00250000003607	MARCH3
ENSFM00500000273016	HSPB2
ENSFM00500000273016	HSPB2-C11orf52
ENSFM00660001182448	HSPB2-C11orf52
ENSFM00250000001395	CLCA1
ENSFM00250000005793	CTU1
ENSFM00660001181917	RAB26
ENSFM00730001521896	RAB26
ENSFM00660001189613	RAB26
ENSFM00250000006917	TSKU
ENSFM00500000271854	HGH1
ENSFM00710001446036	HGH1
ENSFM00740001589266	COL18A1
ENSFM00250000002654	UHRF2
ENSFM00670001236723	MBD3L5
ENSFM00260000050491	TRIM49B
ENSFM00600000944346	ATP6V1B2
ENSFM00250000001461	ATP6V1B2
ENSFM00600000945351	ATP6V1B2
ENSFM00600000945350	ATP6V1B2
ENSFM00250000002312	LGI4
ENSFM00670001235642	RGS4
ENSFM00670001251202	RGS4
ENSFM00670001235476	CRYAB
ENSFM00610000962113	CRYAB
ENSFM00610000962114	CRYAB
ENSFM00710001445753	CRYAB
ENSFM00670001235577	FCGR2C
ENSFM00740001589760	SATL1
ENSFM00250000005180	ALPK1
ENSFM00600000933644	ALPK1
ENSFM00670001236435	GLRX
ENSFM00570000854706	C22orf46
ENSFM00250000000588	ELAVL3
ENSFM00400000132094	CCDC121
ENSFM00250000006705	TNIP2
ENSFM00730001521153	ZNF440
ENSFM00550000769572	ZNF440
ENSFM00690001369627	ZNF440
ENSFM00250000000828	FUT2
ENSFM00250000007896	SUPT7L
ENSFM00500000269946	TMC2
ENSFM00500000269744	RAB11A
ENSFM00670001236755	C10orf35
ENSFM00690001358157	C10orf35
ENSFM00500000269805	SEPT9
ENSFM00690001375573	SEPT9
ENSFM00690001375574	SEPT9
ENSFM00690001370442	SEPT9
ENSFM00690001374181	SEPT9
ENSFM00690001369571	SEPT9
ENSFM00670001236631	MRPS21
ENSFM00500000271869	APOOL
ENSFM00250000001900	VPS13D
ENSFM00710001462851	VPS13D
ENSFM00760001723339	VPS13D
ENSFM00760001715149	POTEC
ENSFM00250000002179	USP22
ENSFM00680001326500	USP22
ENSFM00680001315657	USP22
ENSFM00250000005814	MED26
ENSFM00700001400324	MED26
ENSFM00700001400325	MED26
ENSFM00700001400326	MED26
ENSFM00670001249681	MED26
ENSFM00670001235494	ALX4
ENSFM00250000005444	KLHDC7A
ENSFM00250000002441	IFIT1
ENSFM00500000274167	CCDC59
ENSFM00250000000614	RPL21
ENSFM00670001253148	RPL21
ENSFM00700001407757	RPL21
ENSFM00600000921318	DZIP1
ENSFM00250000011924	TP53TG3
ENSFM00670001243465	TP53TG3
ENSFM00500000274690	CEACAM20
ENSFM00250000005493	KDSR
ENSFM00500000274021	SOX15
ENSFM00250000008971	TDRD12
ENSFM00660001183236	TDRD12
ENSFM00740001589171	CDK18
ENSFM00580000909241	CDK18
ENSFM00580000909242	CDK18
ENSFM00670001235468	UBE2H
ENSFM00560000825126	UBE2H
ENSFM00560000806804	UBE2H
ENSFM00670001236437	CLPS
ENSFM00760001747172	CLPS
ENSFM00250000003308	WSB2
ENSFM00620001017456	WSB2
ENSFM00620001017529	WSB2
ENSFM00730001521647	LONP1
ENSFM00690001371452	LONP1
ENSFM00250000003105	ARID5B
ENSFM00780001898382	HYOU1
ENSFM00760001720376	HYOU1
ENSFM00250000001193	ZNF280D
ENSFM00670001243063	ZNF280D
ENSFM00250000013733	CPXCR1
ENSFM00520000528678	DOCK5
ENSFM00760001714647	DOCK5
ENSFM00250000001579	USP33
ENSFM00610000966931	USP33
ENSFM00500000271790	PLCXD1
ENSFM00550000766174	PLCXD1
ENSFM00550000761224	PLCXD1
ENSFM00500000277108	HSFX2
ENSFM00740001589371	DEPDC1B
ENSFM00580000910536	DEPDC1B
ENSFM00580000910537	DEPDC1B
ENSFM00250000001979	PELI1
ENSFM00250000004265	MYBBP1A
ENSFM00670001282286	MYBBP1A
ENSFM00250000000873	MYBL2
ENSFM00730001522072	TM7SF2
ENSFM00610000971080	TM7SF2
ENSFM00670001239653	AGTRAP
ENSFM00580000910243	AGTRAP
ENSFM00670001236605	AGTRAP
ENSFM00580000908144	AGTRAP
ENSFM00250000002182	ARID3A
ENSFM00760001723700	ARID3A
ENSFM00500000272951	ZNF653
ENSFM00690001374347	ZNF653
ENSFM00690001374348	ZNF653
ENSFM00680001303781	PNKD
ENSFM00500000272376	PNKD
ENSFM00760001714951	NPLOC4
ENSFM00690001375612	NPLOC4
ENSFM00670001277540	NPLOC4
ENSFM00670001278037	NPLOC4
ENSFM00500000271643	TAPT1
ENSFM00580000909665	TAPT1
ENSFM00580000908057	TAPT1
ENSFM00250000000295	PCSK5
ENSFM00500000270382	PPP1R16B
ENSFM00250000002642	NKAIN3
ENSFM00500000276387	FAM166B
ENSFM00250000004725	AGT
ENSFM00250000001018	CTNNA2
ENSFM00550000766250	CTNNA2
ENSFM00520000551513	CTNNA2
ENSFM00730001522008	CYP1B1
ENSFM00670001242422	CLLU1OS
ENSFM00500000273609	GPR171
ENSFM00560000836227	GPR171
ENSFM00580000908027	TMEM165
ENSFM00500000271648	TMEM165
ENSFM00580000908578	TMEM165
ENSFM00740001611176	TMEM165
ENSFM00250000010701	CREBZF
ENSFM00610000969826	CREBZF
ENSFM00690001369218	C19orf57
ENSFM00250000009629	C19orf57
ENSFM00690001374370	C19orf57
ENSFM00500000298502	CLLU1
ENSFM00470000251449	CAPRIN1
ENSFM00420000140520	OR13C2
ENSFM00250000008013	CLNK
ENSFM00250000003929	CNTFR
ENSFM00250000000112	CAPN9
ENSFM00250000007987	CARF
ENSFM00550000748607	CARF
ENSFM00550000763313	CARF
ENSFM00550000750081	CARF
ENSFM00700001396244	CARF
ENSFM00700001396234	CARF
ENSFM00550000764936	CARF
ENSFM00550000751380	CARF
ENSFM00560000771452	C8orf4
ENSFM00680001319907	ANKRD12
ENSFM00670001235566	ANKRD12
ENSFM00680001325986	ANKRD12
ENSFM00680001314810	ANKRD12
ENSFM00250000002828	ATP6V1E1
ENSFM00250000000670	IKZF2
ENSFM00550000769105	IKZF2
ENSFM00550000770700	IKZF2
ENSFM00400000131935	REPS2
ENSFM00670001236333	IGLV11-55
ENSFM00400000131728	MMP26
ENSFM00250000005366	HSPBP1
ENSFM00690001374491	HSPBP1
ENSFM00500000273192	ALG13
ENSFM00250000008964	ALG13
ENSFM00770001848998	ALG13
ENSFM00770001850086	ALG13
ENSFM00760001748313	ALG13
ENSFM00770001852360	ALG13
ENSFM00760001748312	ALG13
ENSFM00770001863196	ALG13
ENSFM00770001863197	ALG13
ENSFM00250000000618	ARHGEF18
ENSFM00650001147154	COPS2
ENSFM00250000004729	COPS2
ENSFM00680001303632	C1QB
ENSFM00250000007186	RFX5
ENSFM00550000749951	RFX5
ENSFM00550000755148	RFX5
ENSFM00550000753461	RFX5
ENSFM00470000251531	ZBTB17
ENSFM00600000921679	CEBPD
ENSFM00670001237085	PDE6H
ENSFM00250000001663	MED12L
ENSFM00560000818001	MED12L
ENSFM00250000002460	HPD
ENSFM00730001521998	ERO1L
ENSFM00640001116926	ERO1L
ENSFM00320000100304	CLEC4F
ENSFM00720001492047	CCP110
ENSFM00660001181071	CCP110
ENSFM00660001181171	CCP110
ENSFM00250000003551	PCED1B
ENSFM00630001065150	PCED1B
ENSFM00600000921240	CHMP4A
ENSFM00630001067298	CHMP4A
ENSFM00660001189683	FBXL19
ENSFM00730001521651	FBXL19
ENSFM00660001189684	FBXL19
ENSFM00250000007281	RHOBTB3
ENSFM00580000906349	RHOBTB3
ENSFM00580000906350	RHOBTB3
ENSFM00580000910566	RHOBTB3
ENSFM00580000910567	RHOBTB3
ENSFM00250000001956	TARDBP
ENSFM00760001750469	TARDBP
ENSFM00690001367823	TARDBP
ENSFM00760001763534	TARDBP
ENSFM00690001374633	TARDBP
ENSFM00740001589528	MYOC
ENSFM00620001020906	C1RL
ENSFM00620001020907	C1RL
ENSFM00250000000377	C1RL
ENSFM00670001267877	C1RL
ENSFM00250000005824	RNF168
ENSFM00250000011817	ZNF831
ENSFM00250000001098	PPP6R3
ENSFM00610000971204	PPP6R3
ENSFM00610000969392	PPP6R3
ENSFM00610000967029	PPP6R3
ENSFM00610000968118	PPP6R3
ENSFM00610000969481	PPP6R3
ENSFM00630001072279	HSP90B1
ENSFM00760001714713	HSP90B1
ENSFM00620001020971	HSP90B1
ENSFM00250000004350	PSMD14
ENSFM00750001632476	CDC16
ENSFM00730001521485	CHD7
ENSFM00610000968937	CHD7
ENSFM00610000973736	CHD7
ENSFM00610000967775	CHD7
ENSFM00250000003967	YIPF7
ENSFM00740001608816	YIPF7
ENSFM00250000001784	WAS
ENSFM00250000002071	ABHD12B
ENSFM00640001104830	ABHD12B
ENSFM00500000274268	LYRM1
ENSFM00660001160701	LYRM1
ENSFM00770001847533	AMPD3
ENSFM00610000970557	AMPD3
ENSFM00610000970558	AMPD3
ENSFM00500000276089	AIM2
ENSFM00670001235671	RMDN2
ENSFM00250000002441	IFIT3
ENSFM00250000011813	SMCO1
ENSFM00550000759557	SMCO1
ENSFM00250000001004	SIGLEC9
ENSFM00500000269773	FGF13
ENSFM00560000775345	FGF13
ENSFM00500000274789	TMEM242
ENSFM00730001521291	DES
ENSFM00250000009144	CATIP
ENSFM00800002003931	RNF8
ENSFM00560000828217	RNF8
ENSFM00250000006839	DIMT1
ENSFM00600000922269	HMGN5
ENSFM00250000007983	C11orf63
ENSFM00250000001509	TREH
ENSFM00760001763318	TREH
ENSFM00570000851521	ESPNL
ENSFM00550000760619	ESPNL
ENSFM00300000088975	ESPNL
ENSFM00670001244420	SUMO3
ENSFM00670001235669	SUMO3
ENSFM00580000902768	SUMO3
ENSFM00500000270268	TMTC4
ENSFM00560000786998	TMTC4
ENSFM00550000754697	TMTC4
ENSFM00560000819675	TMTC4
ENSFM00560000840324	CYP21A2
ENSFM00470000251613	ZCCHC5
ENSFM00620001019597	CCDC60
ENSFM00250000010092	CCDC60
ENSFM00620001019598	CCDC60
ENSFM00800002003657	ASF1B
ENSFM00690001369213	ASF1B
ENSFM00690001374376	ASF1B
ENSFM00600000945391	ADAM18
ENSFM00670001238947	TMEM233
ENSFM00500000273899	ERP27
ENSFM00670001247075	APOC1
ENSFM00690001366701	APOC1
ENSFM00690001361390	APOC1
ENSFM00690001374455	APOC1
ENSFM00690001369690	APOC1
ENSFM00690001366702	APOC1
ENSFM00690001374456	APOC1
ENSFM00790001963046	DNAJC7
ENSFM00690001375329	DNAJC7
ENSFM00690001369076	DNAJC7
ENSFM00690001375330	DNAJC7
ENSFM00690001368495	DNAJC7
ENSFM00690001368496	DNAJC7
ENSFM00620001020480	MTRNR2L3
ENSFM00250000010482	CLEC14A
ENSFM00250000002149	PRKAB1
ENSFM00620001016038	PRKAB1
ENSFM00620001012744	PRKAB1
ENSFM00500000275659	RPTN
ENSFM00730001521742	PPID
ENSFM00580000909903	PPID
ENSFM00580000908518	PPID
ENSFM00780001898474	RAE1
ENSFM00740001589614	FLG2
ENSFM00250000007556	TMEM5
ENSFM00500000270070	CTRL
ENSFM00760001714685	SEPT7
ENSFM00500000270854	NUP62
ENSFM00700001404171	NUP62
ENSFM00700001407621	NUP62
ENSFM00700001407622	NUP62
ENSFM00700001407623	NUP62
ENSFM00250000007365	TANK
ENSFM00550000749181	TANK
ENSFM00670001237342	IGLV6-57
ENSFM00250000005103	UTP6
ENSFM00680001326524	UTP6
ENSFM00680001326525	UTP6
ENSFM00670001236770	IGLV8-61
ENSFM00250000004744	POFUT1
ENSFM00580000909902	ETFDH
ENSFM00250000005227	ETFDH
ENSFM00750001632360	PHYKPL
ENSFM00580000908645	PHYKPL
ENSFM00580000910668	PHYKPL
ENSFM00580000910669	PHYKPL
ENSFM00500000270657	ECI2
ENSFM00250000006157	OTOA
ENSFM00730001521500	GRIN2A
ENSFM00250000005244	ECSIT
ENSFM00690001368528	ECSIT
ENSFM00690001365409	ECSIT
ENSFM00690001363743	ECSIT
ENSFM00690001368529	ECSIT
ENSFM00650001140092	FLG
ENSFM00250000006183	CRNN
ENSFM00250000003593	RABGGTB
ENSFM00440000236883	PSMB10
ENSFM00500000271105	KLRD1
ENSFM00500000398489	KLRD1
ENSFM00620001020164	KLRD1
ENSFM00250000003880	CFAP61
ENSFM00560000802075	CFAP61
ENSFM00700001394815	CFAP61
ENSFM00500000271202	APOE
ENSFM00260000050333	CDH20
ENSFM00730001521587	SGK3
ENSFM00760001714632	CAPG
ENSFM00500000271571	TRIM50
ENSFM00250000000463	P2RX3
ENSFM00610000970859	P2RX3
ENSFM00380000124725	AMIGO2
ENSFM00800002003951	NLRX1
ENSFM00570000851895	GIMAP8
ENSFM00500000273811	PIH1D3
ENSFM00740001589124	ARHGEF25
ENSFM00250000003800	SLC39A11
ENSFM00680001314169	SLC39A11
ENSFM00680001318319	SLC39A11
ENSFM00680001314170	SLC39A11
ENSFM00680001318320	SLC39A11
ENSFM00680001314171	SLC39A11
ENSFM00680001318321	SLC39A11
ENSFM00250000000002	ZNF189
ENSFM00760001763246	ZNF189
ENSFM00500000270030	GRAMD1A
ENSFM00500000272297	PASK
ENSFM00550000766061	PASK
ENSFM00500000270250	FGF16
ENSFM00250000000112	CAPN13
ENSFM00500000273561	TSPAN10
ENSFM00500000270333	CSTF2
ENSFM00250000000377	C1R
ENSFM00620001020904	C1R
ENSFM00620001020905	C1R
ENSFM00500000269827	MAGEF1
ENSFM00260000050491	TRIM64
ENSFM00500000269628	ANK3
ENSFM00580000910737	ANK3
ENSFM00760001762829	ANK3
ENSFM00670001258820	ANK3
ENSFM00600000921324	TOX2
ENSFM00300000087575	TOX2
ENSFM00250000003883	ZNF512
ENSFM00660001167287	TRAPPC2L
ENSFM00500000273149	TRAPPC2L
ENSFM00660001189858	TRAPPC2L
ENSFM00660001167288	TRAPPC2L
ENSFM00250000020123	C11orf45
ENSFM00500000273396	MAL
ENSFM00670001250891	MAL
ENSFM00500000336379	MAL
ENSFM00730001521463	SLC6A15
ENSFM00630001072246	SLC6A15
ENSFM00720001503605	SLC6A15
ENSFM00730001521214	KCNJ5
ENSFM00590000916228	MFSD4
ENSFM00250000003906	MFSD4
ENSFM00250000001611	TNPO2
ENSFM00690001370026	TNPO2
ENSFM00690001374358	TNPO2
ENSFM00690001370921	TNPO2
ENSFM00500000271171	SRSF11
ENSFM00720001498893	SRSF11
ENSFM00320000100240	UST
ENSFM00740001589497	SPDYE1
ENSFM00610000955893	ZNF707
ENSFM00570000851869	ZNF707
ENSFM00610000967098	ZNF707
ENSFM00610000968807	ZNF707
ENSFM00610000969693	ZNF707
ENSFM00250000002216	OGT
ENSFM00800002003566	OR5K2
ENSFM00670001235642	RGS5
ENSFM00500000364987	RGS5
ENSFM00610000973463	RGS5
ENSFM00500000273038	VAMP4
ENSFM00730001521984	CDK6
ENSFM00250000000621	WNK3
ENSFM00260000051028	C2CD2
ENSFM00500000274955	ZBTB45
ENSFM00700001407726	ZBTB45
ENSFM00250000004652	ACKR1
ENSFM00500000271161	PTPN9
ENSFM00250000001126	CADM3
ENSFM00250000008656	C3orf52
ENSFM00800002004021	PPP1R13L
ENSFM00690001374463	PPP1R13L
ENSFM00690001374464	PPP1R13L
ENSFM00690001369691	PPP1R13L
ENSFM00250000001053	PPP1R13L
ENSFM00730001522226	EML6
ENSFM00250000008216	INSC
ENSFM00500000269788	HNRNPAB
ENSFM00600000921661	BEX2
ENSFM00260000050845	SLAIN2
ENSFM00580000909718	SLAIN2
ENSFM00280000058776	ULK4
ENSFM00250000006100	NPL
ENSFM00250000001789	SEC16B
ENSFM00600000921286	ELK4
ENSFM00250000006360	CSF1
ENSFM00670001243321	FOXP2
ENSFM00550000756541	FOXP2
ENSFM00250000000673	FOXP2
ENSFM00550000746782	FOXP2
ENSFM00550000765556	UBE2D4
ENSFM00550000764521	UBE2D4
ENSFM00730001521227	UBE2D4
ENSFM00550000758290	UBE2D4
ENSFM00550000751935	UBE2D4
ENSFM00620001020809	UBE2D4
ENSFM00790001963039	MAP2K4
ENSFM00680001326449	MAP2K4
ENSFM00710001464364	MAP2K4
ENSFM00710001463389	MAP2K4
ENSFM00690001375168	MAP2K4
ENSFM00250000009595	MAMSTR
ENSFM00700001407587	MAMSTR
ENSFM00640001114887	BCL2L2
ENSFM00500000271614	BCL2L2
ENSFM00640001110346	BCL2L2
ENSFM00500000271636	ASH1L
ENSFM00250000005153	NYAP2
ENSFM00670001242514	PRLH
ENSFM00250000001358	IRS1
ENSFM00250000001590	ANTXR1
ENSFM00500000271599	IMPACT
ENSFM00680001315157	IMPACT
ENSFM00680001326004	IMPACT
ENSFM00250000006643	RHBDD1
ENSFM00550000759824	RHBDD1
ENSFM00550000755686	RHBDD1
ENSFM00550000763505	RHBDD1
ENSFM00250000007811	DNAAF3
ENSFM00250000007263	NIPSNAP3A
ENSFM00260000051171	SLC45A3
ENSFM00270000056734	SMCO2
ENSFM00740001589085	COL4A4
ENSFM00250000001817	METTL13
ENSFM00600000921226	SFRP1
ENSFM00250000002441	IFIT1B
ENSFM00500000271068	P2RY10
ENSFM00690001366304	FXYD7
ENSFM00500000302237	FXYD7
ENSFM00690001368382	FXYD7
ENSFM00250000001454	SPOCK2
ENSFM00550000761336	SPOCK2
ENSFM00500000270817	LUC7L3
ENSFM00600000925307	LUC7L3
ENSFM00600000936880	LUC7L3
ENSFM00580000908707	LUC7L3
ENSFM00580000906893	LUC7L3
ENSFM00730001541337	LUC7L3
ENSFM00600000945312	LUC7L3
ENSFM00600000945313	LUC7L3
ENSFM00500000271072	ORC2
ENSFM00550000764040	ORC2
ENSFM00250000003511	FASTKD1
ENSFM00670001235577	FCGR2A
ENSFM00740001610647	FCGR2A
ENSFM00720001498630	SEC61B
ENSFM00670001236538	SEC61B
ENSFM00760001714810	HUWE1
ENSFM00250000002014	EFNB1
ENSFM00740001589265	EHBP1
ENSFM00550000757331	EHBP1
ENSFM00550000750606	EHBP1
ENSFM00550000768510	EHBP1
ENSFM00740001589136	MYBPHL
ENSFM00600000921550	NUCKS1
ENSFM00600000921202	PHLDB1
ENSFM00730001522095	RGS9
ENSFM00250000001178	STEAP3
ENSFM00550000745851	RAB17
ENSFM00500000269759	RAB17
ENSFM00520000541453	RAB17
ENSFM00550000764833	RAB17
ENSFM00250000003212	RBP4
ENSFM00280000058729	RAB29
ENSFM00610000970119	RAB29
ENSFM00250000004174	IGBP1
ENSFM00600000945315	ENDOV
ENSFM00670001265471	ENDOV
ENSFM00250000006484	ENDOV
ENSFM00600000942240	ENDOV
ENSFM00600000942241	ENDOV
ENSFM00610000973774	ENDOV
ENSFM00670001275055	ENDOV
ENSFM00600000942242	ENDOV
ENSFM00670001282346	ENDOV
ENSFM00670001282347	ENDOV
ENSFM00600000942510	ENDOV
ENSFM00750001632319	ZNF112
ENSFM00690001374442	ZNF112
ENSFM00730001521754	SLC25A36
ENSFM00580000908357	SLC25A36
ENSFM00500000274852	LRRC3C
ENSFM00260000050491	TRIM77
ENSFM00770001852229	TRIM77
ENSFM00730001521122	OR6C65
ENSFM00250000002879	SELENBP1
ENSFM00550000748478	SELENBP1
ENSFM00670001240506	TP53AIP1
ENSFM00500000300914	TP53AIP1
ENSFM00250000009599	FFAR4
ENSFM00500000271625	GSDMA
ENSFM00500000280283	MANBAL
ENSFM00500000344411	MANBAL
ENSFM00250000001272	CLOCK
ENSFM00250000003555	RSF1
ENSFM00610000954461	C1orf122
ENSFM00670001241301	C1orf122
ENSFM00250000005095	FBXO42
ENSFM00250000006476	C1orf159
ENSFM00680001326176	C1orf159
ENSFM00680001326177	C1orf159
ENSFM00550000749037	C1orf159
ENSFM00550000751841	C1orf159
ENSFM00680001326178	C1orf159
ENSFM00740001589084	DCHS2
ENSFM00250000007555	SERTAD2
ENSFM00500000274126	FAM210B
ENSFM00550000748390	FAM210B
ENSFM00500000271462	ATF4
ENSFM00250000003532	FAM126B
ENSFM00670001258143	FAM126B
ENSFM00250000005391	HP1BP3
ENSFM00550000763832	HP1BP3
ENSFM00550000769121	HP1BP3
ENSFM00550000765141	HP1BP3
ENSFM00550000758652	HP1BP3
ENSFM00250000001100	PPIP5K1
ENSFM00550000767967	PPIP5K1
ENSFM00550000757128	PPIP5K1
ENSFM00670001235591	CLDN10
ENSFM00500000341595	CLDN10
ENSFM00670001236078	SH3BGRL
ENSFM00760001714908	AGRN
ENSFM00740001589272	DMC1
ENSFM00250000005304	SMUG1
ENSFM00250000005721	CENPC
ENSFM00250000001027	SLC41A1
ENSFM00780001898469	KAT5
ENSFM00610000971120	KAT5
ENSFM00610000971121	KAT5
ENSFM00610000969942	KAT5
ENSFM00250000001252	NF1
ENSFM00690001375245	NF1
ENSFM00690001375246	NF1
ENSFM00670001241512	HOPX
ENSFM00550000748469	HOPX
ENSFM00670001239573	HOPX
ENSFM00500000270879	NTSR1
ENSFM00250000006106	DESI1
ENSFM00500000270222	AUH
ENSFM00500000274531	WFDC3
ENSFM00500000308256	WFDC3
ENSFM00500000282437	TOMM20L
ENSFM00640001115706	TOMM20L
ENSFM00500000270555	MAP1LC3A
ENSFM00750001632483	PSKH1
ENSFM00250000007523	MBLAC2
ENSFM00800002003921	ST8SIA3
ENSFM00670001238387	C4orf46
ENSFM00580000908760	C4orf46
ENSFM00580000908556	POLR3G
ENSFM00500000274098	POLR3G
ENSFM00550000764792	MFF
ENSFM00250000003442	MFF
ENSFM00610000963247	MFF
ENSFM00610000963248	MFF
ENSFM00610000961645	MFF
ENSFM00610000963249	MFF
ENSFM00550000751295	MFF
ENSFM00550000761324	MFF
ENSFM00550000756195	MFF
ENSFM00500000271103	CYB5R4
ENSFM00500000269660	ADAM33
ENSFM00670001239083	ADAM33
ENSFM00250000007333	CHAMP1
ENSFM00260000050346	DHX30
ENSFM00550000756367	DHX30
ENSFM00260000050333	CDH19
ENSFM00680001326012	CDH19
ENSFM00730001521713	POMT2
ENSFM00640001120078	POMT2
ENSFM00640001120079	POMT2
ENSFM00640001120080	POMT2
ENSFM00250000005545	RPE
ENSFM00550000762161	RPE
ENSFM00550000763192	CTXN2
ENSFM00400000131800	NR1D2
ENSFM00500000271401	IPO9
ENSFM00550000761656	IPO9
ENSFM00600000921280	SGIP1
ENSFM00250000002667	ORAI3
ENSFM00660001175414	ORAI3
ENSFM00660001175415	ORAI3
ENSFM00500000278432	GTF2H5
ENSFM00690001369859	SPATA32
ENSFM00690001375372	SPATA32
ENSFM00500000275779	SPATA32
ENSFM00720001503589	MTRNR2L9
ENSFM00620001020925	GABARAPL1
ENSFM00620001013079	GABARAPL1
ENSFM00500000270406	GABARAPL1
ENSFM00620001020136	GABARAPL1
ENSFM00620001020334	GABARAPL1
ENSFM00620001019906	GABARAPL1
ENSFM00620001020926	GABARAPL1
ENSFM00250000008340	SPATS1
ENSFM00580000906611	SPATS1
ENSFM00500000272719	TAS2R42
ENSFM00250000000663	ADARB1
ENSFM00760001763228	ADARB1
ENSFM00500000270967	EMC3
ENSFM00720001497176	EMC3
ENSFM00250000002100	RTKN2
ENSFM00600000921289	GALNS
ENSFM00660001189854	GALNS
ENSFM00660001189855	GALNS
ENSFM00660001189856	GALNS
ENSFM00660001189857	GALNS
ENSFM00260000050958	YRDC
ENSFM00250000003945	MARCH1
ENSFM00250000006322	METTL1
ENSFM00500000283674	METTL1
ENSFM00630001060280	METTL1
ENSFM00630001065603	METTL1
ENSFM00630001065604	METTL1
ENSFM00300000085299	RNF212B
ENSFM00470000257396	RNF212B
ENSFM00640001116626	RNF212B
ENSFM00480000262790	DBN1
ENSFM00250000005906	EFCAB14
ENSFM00720001501532	EFCAB14
ENSFM00740001589085	COL4A1
ENSFM00670001248552	TRAV1-1
ENSFM00500000274587	TRMT112
ENSFM00620001021138	TRMT112
ENSFM00660001179308	SMIM1
ENSFM00660001189920	SMIM1
ENSFM00660001182061	SMIM1
ENSFM00250000000278	SLC26A10
ENSFM00250000006467	NUF2
ENSFM00250000001208	AARS2
ENSFM00250000007950	FANCG
ENSFM00250000007057	KIAA0586
ENSFM00640001115707	KIAA0586
ENSFM00670001241283	SPATA45
ENSFM00250000000002	ZNF492
ENSFM00500000271925	RWDD2B
ENSFM00730001521951	ACADM
ENSFM00610000969853	ACADM
ENSFM00610000973372	ACADM
ENSFM00610000973370	ACADM
ENSFM00610000973371	ACADM
ENSFM00610000970124	ACADM
ENSFM00730001521338	EPHB4
ENSFM00770001847809	IGLV3-27
ENSFM00500000270181	GP2
ENSFM00670001282171	GP2
ENSFM00250000002722	PAQR7
ENSFM00780001898576	INSM1
ENSFM00400000131768	KHDRBS2
ENSFM00500000270283	GPC5
ENSFM00760001754396	GPC5
ENSFM00670001251376	FAM215A
ENSFM00670001238730	PRB3
ENSFM00250000002233	EIF2S3
ENSFM00600000921598	ARGLU1
ENSFM00600000925717	ARGLU1
ENSFM00550000746731	ARGLU1
ENSFM00730001521851	GUCY1A2
ENSFM00500000271142	HTATSF1
ENSFM00500000271614	BCL2L2-PABPN1
ENSFM00430000230074	OR2C1
ENSFM00700001390505	C11orf94
ENSFM00250000007612	OSER1
ENSFM00760001714614	DNAJA1
ENSFM00600000940289	SREK1
ENSFM00500000271049	SREK1
ENSFM00600000945048	SREK1
ENSFM00600000940288	SREK1
ENSFM00730001521302	PRMT1
ENSFM00610000973792	PRMT1
ENSFM00610000971382	PRMT1
ENSFM00800002003962	TRIM28
ENSFM00700001402120	TRIM28
ENSFM00740001589159	FRAS1
ENSFM00580000909768	FRAS1
ENSFM00250000004825	UMPS
ENSFM00560000835898	UMPS
ENSFM00560000820571	UMPS
ENSFM00670001241805	SEPW1
ENSFM00700001400447	SEPW1
ENSFM00730001521147	CHRNA2
ENSFM00600000945368	CHRNA2
ENSFM00600000945369	CHRNA2
ENSFM00730001521323	LIPA
ENSFM00250000005637	SOBP
ENSFM00250000000002	ZNF729
ENSFM00260000053177	C18orf63
ENSFM00670001239073	DCD
ENSFM00630001070483	DCD
ENSFM00540000717941	VPS33A
ENSFM00620001019911	VPS33A
ENSFM00500000270656	GMFG
ENSFM00700001402715	GMFG
ENSFM00700001402716	GMFG
ENSFM00700001407530	GMFG
ENSFM00700001402717	GMFG
ENSFM00700001401869	GMFG
ENSFM00250000008307	TCTE1
ENSFM00770001847620	ZNF599
ENSFM00730001529381	ZNF599
ENSFM00250000006024	RSPH6A
ENSFM00250000006984	TMEM121
ENSFM00250000005259	ABHD16B
ENSFM00480000262744	B3GNT4
ENSFM00250000010673	SNTN
ENSFM00250000000772	SERINC3
